side,open_dt,open_price,close_dt,close_price,open_reason,close_reason,ret
long,2025-06-01 13:20:00,52.0,2025-06-01 13:20:00,52.0,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-01 13:20:00,52.0,2025-06-01 13:20:00,52.0,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-01 13:20:00,52.0,2025-06-01 21:40:00,52.3,一买信号开仓,一卖信号平仓,0.0037692307692307487
short,2025-06-01 21:40:00,52.3,2025-06-02 06:00:00,52.56,一卖信号开仓,三买信号平仓,-0.0069713193116636134
long,2025-06-02 06:00:00,52.56,2025-06-02 06:00:00,52.56,三买信号开仓,三卖信号平仓,-0.002
short,2025-06-02 06:00:00,52.56,2025-06-02 14:20:00,53.4,三卖信号开仓,三买信号平仓,-0.01798173515981727
long,2025-06-02 14:20:00,53.4,2025-06-02 14:20:00,53.4,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-02 14:20:00,53.4,2025-06-02 14:20:00,53.4,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-02 14:20:00,53.4,2025-06-02 22:40:00,54.14,一买信号开仓,一卖信号平仓,0.011857677902621823
short,2025-06-02 22:40:00,54.14,2025-06-02 22:40:00,54.14,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-02 22:40:00,54.14,2025-06-03 15:20:00,54.11,一买信号开仓,一卖信号平仓,-0.002554118950868099
short,2025-06-03 15:20:00,54.11,2025-06-03 15:20:00,54.11,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-03 15:20:00,54.11,2025-06-03 23:40:00,54.45,一买信号开仓,三卖信号平仓,0.004283496581038772
short,2025-06-03 23:40:00,54.45,2025-06-03 23:40:00,54.45,三卖信号开仓,三买信号平仓,-0.002
long,2025-06-03 23:40:00,54.45,2025-06-03 23:40:00,54.45,三买信号开仓,一卖信号平仓,-0.002
short,2025-06-03 23:40:00,54.45,2025-06-04 16:20:00,51.61,一卖信号开仓,一买信号平仓,0.05015794306703403
long,2025-06-04 16:20:00,51.61,2025-06-04 16:20:00,51.61,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-04 16:20:00,51.61,2025-06-04 16:20:00,51.61,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-04 16:20:00,51.61,2025-06-05 00:40:00,50.47,一买信号开仓,一卖信号平仓,-0.02408874249176518
short,2025-06-05 00:40:00,50.47,2025-06-05 00:40:00,50.47,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-05 00:40:00,50.47,2025-06-05 00:40:00,50.47,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-05 00:40:00,50.47,2025-06-05 09:00:00,50.1,一卖信号开仓,一买信号平仓,0.0053310877749157565
long,2025-06-05 09:00:00,50.1,2025-06-05 09:00:00,50.1,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-05 09:00:00,50.1,2025-06-05 09:00:00,50.1,一卖信号开仓,三买信号平仓,-0.002
long,2025-06-05 09:00:00,50.1,2025-06-05 17:20:00,49.68,三买信号开仓,一卖信号平仓,-0.010383233532934131
short,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,一买信号开仓,三卖信号平仓,-0.002
short,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,三卖信号开仓,一买信号平仓,-0.002
long,2025-06-05 17:20:00,49.68,2025-06-05 17:20:00,49.68,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-05 17:20:00,49.68,2025-06-06 10:00:00,47.92,一卖信号开仓,一买信号平仓,0.033426731078904925
long,2025-06-06 10:00:00,47.92,2025-06-06 18:20:00,48.34,一买信号开仓,一卖信号平仓,0.006764607679465852
short,2025-06-06 18:20:00,48.34,2025-06-06 18:20:00,48.34,一卖信号开仓,一买信号平仓,-0.002
long,2025-06-06 18:20:00,48.34,2025-06-06 18:20:00,48.34,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-06 18:20:00,48.34,2025-06-07 02:40:00,47.61,一卖信号开仓,一买信号平仓,0.013101365328920258
long,2025-06-07 02:40:00,47.61,2025-06-07 02:40:00,47.61,一买信号开仓,一卖信号平仓,-0.002
short,2025-06-07 02:40:00,47.61,2025-06-07 11:00:00,48.49,一卖信号开仓,三买信号平仓,-0.020483511867254833
long,2025-06-07 11:00:00,48.49,2025-06-07 19:20:00,50.1,三买信号开仓,三卖信号平仓,0.031202722210765144
short,2025-06-07 19:20:00,50.1,2025-06-07 19:20:00,50.1,三卖信号开仓,一买信号平仓,-0.002
long,2025-06-07 19:20:00,50.1,2025-06-08 03:40:00,50.06,一买信号开仓,一卖信号平仓,-0.0027984031936127956
short,2025-06-08 03:40:00,50.06,2025-06-08 12:00:00,50.77,一卖信号开仓,一买信号平仓,-0.016182980423491866
long,2025-06-08 12:00:00,50.77,2025-06-08 20:20:00,48.87,一买信号开仓,一卖信号平仓,-0.039423675398857716
short,2025-06-08 20:20:00,48.87,2025-06-09 04:40:00,49.75,一卖信号开仓,三买信号平仓,-0.020006957233476674
long,2025-06-09 04:40:00,49.75,2025-06-09 13:00:00,50.3,三买信号开仓,一卖信号平仓,0.009055276381909396
short,2025-06-09 13:00:00,50.3,2025-06-09 13:00:00,50.3,一卖信号开仓,三买信号平仓,-0.002
